,Symbol,Name,EV/EBIT, MV , TDebt , EBIT 
1097,FUEL,ROCKET FUEL INC,-3.413405963," 122,183,352.00 "," 82,976,000.00 "," -60,104,000.00 "
1675,MCF,CONTANGO OIL & GAS CO,-3.386147091," 111,146,536.00 "," 71,316,000.00 "," -53,885,000.00 "
2956,XBIT,XBIOTECH INC,-3.363340346," 177,453,200.00 ", -   ," -52,761,000.00 "
2168,PRGO,PERRIGO CO PLC,-3.205199148," 11,170,720,768.00 "," 3,674,800,128.00 "," -4,631,700,000.00 "
2223,QTNT,QUOTIENT LIMITED,-3.151573211," 135,605,152.00 "," 101,286,000.00 "," -75,166,000.00 "
616,COLL,COLLEGIUM PHARMACEUTICAL,-3.103444315," 289,165,248.00 "," 2,813,000.00 "," -94,082,000.00 "
531,CHK,CHESAPEAKE ENERGY CORP,-3.069924569," 3,330,644,992.00 "," 9,852,999,680.00 "," -4,293,000,000.00 "
586,CMRX,CHIMERIX INC,-2.977871868," 227,233,632.00 "," 246,000.00 "," -76,390,000.00 "
880,ENDP,ENDO INTERNATIONAL PLC,-2.936281599," 1,906,913,664.00 "," 8,285,439,488.00 "," -3,471,177,000.00 "
451,CASC,CASCADIAN THERAPEUTICS,-2.856223717," 184,519,184.00 "," 29,999.00 "," -64,613,000.00 "
2557,SWN,SOUTHWESTERN ENERGY CO,-2.783001858," 2,808,276,736.00 "," 4,383,000,064.00 "," -2,584,000,000.00 "
1868,NH,NANTHEALTH INC,-2.776040723," 363,619,808.00 "," 193,179,008.00 "," -200,573,000.00 "
416,BW,BABCOCK & WILCOX ENT,-2.702161372," 148,596,416.00 "," 131,399,992.00 "," -104,343,000.00 "
2492,SPN,SUPERIOR ENERGY SERVICES,-2.687365201," 1,420,600,960.00 "," 1,287,155,968.00 "," -1,007,588,000.00 "
797,DNR,DENBURY RESOURCES INC,-2.561764906," 430,673,344.00 "," 3,143,506,176.00 "," -1,395,202,000.00 "
2421,SHLD,SEARS HOLDINGS CORP,-2.543219367," 830,549,824.00 "," 4,232,999,936.00 "," -1,991,000,000.00 "
1879,NLNK,NEWLINK GENETICS CORP,-2.537154615," 229,189,584.00 "," 395,000.00 "," -90,489,000.00 "
560,CLDX,CELLDEX THERAPEUTICS INC,-2.496343328," 320,855,008.00 ", -   ," -128,530,000.00 "
1091,FSTR,FOSTER L B CO,-2.396287588," 198,572,160.00 "," 138,389,008.00 "," -140,618,000.00 "
1926,NVAX,NOVAVAX INC,-2.381870929," 318,910,912.00 "," 317,051,008.00 "," -267,001,000.00 "
199,ARDX,ARDELYX INC,-2.321870394," 260,948,048.00 ", -   ," -112,387,000.00 "
2215,QEP,QEP RESOURCES INC,-2.129073856," 1,830,623,616.00 "," 2,023,000,064.00 "," -1,810,000,000.00 "
553,CJ,C&J ENERGY SERVICES INC,-2.014363452," 1,733,367,808.00 ", -   ," -860,504,000.00 "
659,CRR,CARBO CERAMICS INC,-1.999930614," 187,044,896.00 "," 75,362,000.00 "," -131,208,000.00 "
2604,TESO,TESCO CORP,-1.854945583," 217,410,752.00 ", -   ," -117,206,000.00 "
858,EGLE,EAGLE BULK SHIPPING INC,-1.719220035," 346,806,720.00 ", -   ," -201,723,289.00 "
2682,TRVN,TREVENA INC,-1.6561178," 139,688,864.00 "," 28,003,000.00 "," -101,256,000.00 "
736,CZR,CAESARS ENTMT CORP,-1.547834264," 1,726,364,928.00 "," 6,792,000,000.00 "," -5,501,000,000.00 "
503,CEMP,CEMPRA INC,-1.486084449," 161,466,096.00 "," 12,009,000.00 "," -116,733,000.00 "
2416,SGY,STONE ENERGY CORP,-1.459169975," 520,776,576.00 "," 236,126,992.00 "," -518,722,000.00 "
2026,OTIC,OTONOMY INC,-0.876905854," 96,970,880.00 ", -   ," -110,583,000.00 "
1,AA,ALCOA CORPORATION,0," 8,089,926,656.00 "," 1,436,999,936.00 ", -   
70,AF,ASTORIA FINANCIAL CORP,0, -   , -   , -   
71,AFAM,ALMOST FAMILY INC,0, -   , -   , -   
72,AFG,AMERICAN FINANCIAL GROUP,0, -   , -   , -   
73,AFH,ATLAS FINANCIAL HOLDINGS,0, -   , -   , -   
74,AFI,ARMSTRONG FLOORING INC,0, -   , -   , -   
75,AFL,AFLAC INC,0, -   , -   , -   
76,AFSI,AMTRUST FINL SVCS,0, -   , -   , -   
80,AGII,ARGO GROUP INTL,0," 1,778,259,968.00 "," 578,400,000.00 "," 195,000,000.00 "
82,AGM,FEDERAL AGRIC MTG CO,0," 690,169,856.00 "," 16,424,308,736.00 ", -   
88,AGYS,AGILYSYS INC,0," 243,723,808.00 "," 206,000.00 "," -11,470,000.00 "
101,AIZ,ASSURANT INC,0, -   ," 1,136,599,936.00 "," 906,207,000.00 "
112,AL,AIR LEASE CORP,0, -   ," 9,303,311,360.00 "," 835,497,000.00 "
114,ALCO,ALICO INC,0," 269,479,712.00 "," 187,356,000.00 "," 22,373,000.00 "
117,ALEX,ALEXANDER & BALDWIN INC,0," 2,158,185,472.00 "," 576,499,968.00 "," 61,600,000.00 "
121,ALJ,ALON USA ENERGY INC,0," 18,235,125,760.00 ", -   , -   
143,AMED,AMEDISYS INC,0," 1,773,358,080.00 "," 91,294,000.00 ", -   
219,ASH,ASHLAND GLOBAL HOLDINGS,0," 3,811,532,544.00 "," 2,812,999,936.00 ", -   
220,ASIX,ADVANSIX,0," 997,708,608.00 "," 265,026,000.00 ", -   
237,ATR,APTARGROUP INC,0," 5,187,943,424.00 "," 778,536,960.00 "," 315,734,000.00 "
275,AYX,ALTERYX INC,0," 1,280,708,480.00 ", -   , -   
288,BATRA,LIBERTY BRAVES SERIES A,0," 1,236,364,672.00 "," 502,000,000.00 ", -   
289,BATRK,LIBERTY BRAVES SERIES C,0, -   ," 502,000,000.00 ", -   
310,BDE,BLACK DIAMOND INC,0," 199,585,120.00 ", -   , -   
317,BELFB,BEL FUSE INC,0," 301,184,064.00 "," 130,515,000.00 ", -   
321,BF.A,BROWN FORMAN CORP CL A,0, -   , -   , -   
322,BF.B,BROWN FORMAN CORP CL B,0, -   , -   , -   
337,BHI,BAKER HUGHES INC,0," 42,456,420,352.00 ", -   , -   
339,BHVN,BIOHAVEN PHARMACEUTICAL,0," 1,354,407,680.00 "," 4,785,000.00 ", -   
345,BIVV,BIOVERATIV,0," 6,100,923,904.00 "," 49,500,000.00 ", -   
355,BL,BLACKLINE INC,0," 1,626,573,056.00 "," 442,000.00 ", -   
366,BLX,BANCO LATINOAMERICANO,0," 1,067,880,192.00 "," 2,006,736,000.00 ", -   
396,BRK.B,BERKSHIRE HATHAWAY INC,0, -   , -   , -   
419,BWINB,BALDWIN & LYONS INC,0," 328,698,016.00 "," 20,000,000.00 ", -   
435,CADE,CADENCE BANCORP,0," 1,749,435,008.00 "," 518,101,024.00 ", -   
450,CARS,CARS.COM,0," 1,933,621,760.00 "," 668,905,024.00 ", -   
456,CATM,CARDTRONICS PLC,0," 1,226,720,384.00 "," 973,339,008.00 ", -   
483,CCN,CARDCONNECT CORP,0," 469,382,400.00 ", -   , -   
505,CENTA,CENTRAL GARDEN & PET CO,0," 1,792,797,568.00 "," 435,448,992.00 ", -   
515,CFI,CULP INC,0," 18,332,598,272.00 ", -   , -   
540,CHUBK,COMMERCEHUB INC SERIES C,0," 938,742,336.00 "," 6,000,000.00 ", -   
547,CIO,CITY OFFICE REIT INC,0," 388,565,376.00 "," 411,109,984.00 "," 15,137,000.00 "
552,CIX,COMPX INTERNATIONAL INC,0," 189,498,032.00 ", -   , -   
558,CLDR,CLOUDERA INC,0," 2,803,889,664.00 ", -   , -   
567,CLNS,COLONY NORTHSTAR INC,0," 7,690,845,696.00 "," 10,572,218,368.00 ", -   
585,CMRE,COSTAMARE INC,0," 654,670,656.00 "," 1,331,767,936.00 ", -   
595,CNDT,CONDUENT INC,0," 3,485,337,600.00 "," 2,130,000,000.00 ", -   
629,COTV,COTIVITI HOLDINGS INC,0," 3,307,940,096.00 "," 777,744,000.00 ", -   
633,CPA,COPA HOLDINGS SA,0," 5,456,052,224.00 "," 1,174,980,992.00 ", -   
651,CRD.B,CRAWFORD & CO,0, -   , -   , -   
677,CST,CST BRANDS INC,0," 6,194,887,680.00 ", -   , -   
678,CSTE,CAESARSTONE LTD,0," 1,014,717,440.00 "," 21,994,000.00 ", -   
679,CSTR,CAPSTAR FINANCIAL HLDG,0," 196,503,168.00 "," 105,000,000.00 ", -   
717,CVNA,CARVANA CO,0," 2,432,583,936.00 "," 178,992,000.00 ", -   
724,CWH,CAMPING WORLD HOLDINGS,0," 3,425,436,928.00 "," 1,500,328,064.00 ", -   
774,DHT,DHT HOLDINGS INC,0," 560,847,232.00 "," 842,557,952.00 ", -   
780,DISCK,DISCOVERY COMM CL C,0," 12,449,451,008.00 "," 8,263,000,064.00 ", -   
804,DOX,AMDOCS LTD,0," 9,276,556,288.00 ", -   , -   
825,DXC,DXC TECHNOLOGY COMPANY,0," 23,922,499,584.00 "," 7,453,000,192.00 ", -   
851,EEX,EMERALD EXPOSITIONS,0," 1,600,722,816.00 "," 557,497,024.00 ", -   
872,ELVT,ELEVATE CREDIT INC,0," 269,340,000.00 "," 448,935,008.00 ", -   
938,EVHC,ENVISION HEALTHCARE CORP,0," 5,816,505,344.00 "," 6,329,399,808.00 ", -   
959,EXXI,ENERGY XXI GULF COAST,0," 347,828,064.00 "," 77,383,000.00 ", -   
973,FBK,FB FINANCIAL CORP,0," 1,044,275,648.00 "," 61,483,000.00 ", -   
974,FBM,FOUNDATION BLDG MATERIAL,0," 580,826,176.00 "," 604,068,992.00 ", -   
982,FCE.A,FOREST CITY REALTY TRUST,0, -   , -   , -   
984,FCFP,FIRST COMMUNITY FINL INC,0," 5,377,371,136.00 ", -   , -   
1050,FND,FLOOR & DECOR HOLDINGS,0," 3,570,510,592.00 "," 181,824,992.00 ", -   
1052,FNFV,FNFV GROUP,0," 1,048,448,128.00 "," 118,000,000.00 ", -   
1066,FOX,21ST CENTURY FOX CL B,0," 48,588,570,624.00 "," 19,913,000,960.00 ", -   
1073,FRAC,KEANE GROUP INC,0," 1,503,008,640.00 "," 153,735,008.00 ", -   
1076,FRC,FIRST REP BK SAN FRAN,0," 14,901,632,000.00 "," 9,408,933,888.00 ", -   
1080,FRO,FRONTLINE LTD,0," 925,458,944.00 "," 1,537,808,896.00 ", -   
1081,FRP,FAIRPOINT COMMUNICATIONS,0," 5,377,371,136.00 ", -   , -   
1085,FRTA,FORTERRA INC,0," 201,599,936.00 "," 1,272,790,016.00 ", -   
1100,FWONA,LIBERTY FORMULA 1 SER A,0," 8,433,234,944.00 "," 6,304,999,936.00 ", -   
1101,FWONK,LIBERTY FORMULA 1 SER C,0," 8,357,020,160.00 "," 6,304,999,936.00 ", -   
1121,GDI,GARDNER DENVER HOLDINGS,0," 4,575,525,888.00 "," 1,982,499,968.00 ", -   
1125,GEF.B,GREIF INC,0," 5,377,371,136.00 ", -   , -   
1147,GLNG,GOLAR LNG LTD BERMUDA,0," 2,093,729,920.00 "," 2,271,822,080.00 ", -   
1148,GLOG,GASLOG LTD,0," 1,712,289,536.00 "," 2,884,371,200.00 ", -   
1173,GOLF,ACUSHNET HOLDINGS CORP,0," 1,209,844,992.00 "," 530,869,984.00 ", -   
1175,GOOG,ALPHABET INC CL C,0," 647,182,745,600.00 "," 3,955,000,064.00 ", -   
1200,GSOL,GLOBAL SOURCES LTD,0," 484,950,016.00 ", -   , -   
1237,HCC,WARRIOR MET COAL INC,0," 1,422,166,144.00 "," 5,163,000.00 ", -   
1254,HEI.A,HEICO CORP CL A,0, -   , -   , -   
1260,HGV,HILTON GRAND VACATIONS,0," 3,532,276,992.00 "," 1,131,000,064.00 ", -   
1265,HIFS,HINGHAM INSTN SVGS MASS,0," 398,665,792.00 "," 504,082,016.00 ", -   
1277,HLNE,HAMILTON LANE INC,0," 1,245,787,648.00 "," 83,745,000.00 ", -   
1358,ICHR,ICHOR HOLDINGS INC,0," 565,861,248.00 "," 38,208,000.00 ", -   
1371,IGT,INTERNATIONAL GAME TECH,0," 4,176,130,816.00 "," 7,493,547,008.00 ", -   
1401,INSW,INTERNATIONAL SEAWAYS,0," 533,194,688.00 "," 475,504,000.00 ", -   
1408,INVH,INVITATION HOMES INC,0," 7,036,600,320.00 "," 5,655,067,136.00 ", -   
1449,JAG,JAGGED PEAK ENERGY INC,0," 2,716,999,680.00 ", -   , -   
1461,JELD,JELD-WEN HOLDING INC,0," 3,391,885,056.00 "," 1,255,766,912.00 ", -   
1462,JILL,JJILL INC,0," 446,666,048.00 "," 247,235,008.00 ", -   
1475,JW.A,WILEY JOHN & SONS INC,0, -   , -   , -   
1482,KATE,KATE SPADE & CO,0," 2,377,906,432.00 ", -   , -   
1486,KCG,KCG HOLDINGS INC,0," 1,333,607,936.00 ", -   , -   
1510,KMPR,KEMPER CORPORATION,0," 2,396,163,072.00 "," 592,499,968.00 ", -   
1516,KNSL,KINSALE CAPITAL GROUP,0," 752,566,656.00 ", -   , -   
1528,KREF,KKR REAL ESTATE FINANCE,0," 1,120,428,160.00 "," 5,529,183,232.00 ", -   
1553,LBIO,LION BIOTECHNOLOGIES INC,0," 64,385,519,616.00 ", -   , -   
1554,LBRDA,LIBERTY BROADBAND CL A,0," 18,753,236,992.00 "," 599,171,968.00 ", -   
1570,LEN.B,LENNAR CORP CL B,0," 64,385,519,616.00 ", -   , -   
1574,LGF.A,LIONS GATE ENT CLASS A,0," 64,385,519,616.00 ", -   , -   
1575,LGF.B,LIONS GATE ENT CLASS B,0," 64,385,519,616.00 ", -   , -   
1597,LMIA,LMI AEROSPACE INC,0, -   , -   , -   
1631,LSXMK,LIBERTY SIRIUSXM SER C,0," 14,500,457,472.00 "," 6,717,000,192.00 ", -   
1640,LVNTA,LIBERTY VENTURES,0," 5,253,980,160.00 "," 1,799,000,064.00 ", -   
1642,LW,LAMB WESTON HOLDINGS,0," 6,624,470,016.00 "," 2,424,899,840.00 ", -   
1700,MEDP,MEDPACE HOLDINGS INC,0," 1,201,245,952.00 "," 185,220,000.00 ", -   
1704,METC,RAMACO RESOURCES INC,0," 299,875,584.00 ", -   , -   
1753,MOG.A,MOOG INC,0, -   , -   , -   
1806,MULE,MULESOFT INC,0," 2,772,992,768.00 ", -   , -   
1820,NAME,RIGHTSIDE GROUP LTD,0," 204,636,128.00 ", -   , -   
1822,NAT,NORDIC AMERICAN TANKER,0," 560,835,008.00 "," 443,516,992.00 ", -   
1838,NCIT,NCI INC,0," 272,336,000.00 ", -   , -   
1844,NCSM,NCS MULTISTAGE HOLD,0," 899,431,360.00 "," 3,192,000.00 ", -   
1883,NM,NAVIOS MARITIME HOLDINGS,0," 185,365,744.00 "," 1,646,270,080.00 ", -   
1885,NNA,NAVIOS MARITIME ACQUIS,0," 186,505,920.00 "," 1,084,699,008.00 ", -   
1890,NODK,NI HOLDINGS INC,0," 365,938,112.00 ", -   , -   
1913,NTB,BANK OF NT BUTTERFIELD,0," 1,751,526,784.00 "," 129,746,992.00 ", -   
1917,NTNX,NUTANIX INC,0," 3,406,394,368.00 ", -   , -   
1924,NUTR,NUTRACEUTICAL INTL CORP,0," 386,524,608.00 ", -   , -   
1944,NWSA,NEWS CORP CL A,0," 7,872,931,840.00 "," 379,000,000.00 ", -   
1947,NXPI,NXP SEMICONDUCTORS NV,0," 37,923,430,400.00 "," 6,547,999,744.00 ", -   
1953,NYLD.A,NRG YIELD INC CL A,0," 6,199,821,824.00 ", -   , -   
1955,NYMX,NYMOX PHARMACEUTICAL,0," 195,855,200.00 "," 653,431.00 ", -   
1985,OKTA,OKTA INC,0," 2,597,840,640.00 ", -   , -   
2006,OPB,OPUS BK IRVINE CALIF,0," 815,088,896.00 "," 142,612,000.00 ", -   
2030,OVID,OVID THERAPEUTICS INC,0," 203,211,696.00 ", -   , -   
2064,PCSB,PCSB FINANCIAL CORP,0," 261,692,336.00 "," 42,598,000.00 ", -   
2091,PFBC,PREFERRED BANK,0," 760,618,816.00 "," 105,360,000.00 ", -   
2109,PHIIK,PHI INC,0," 185,531,152.00 "," 631,096,000.00 ", -   
2120,PK,PARK HOTELS & RESORTS,0," 5,704,028,160.00 "," 3,224,000,000.00 ", -   
2127,PKY,PARKWAY INC,0," 1,149,820,672.00 "," 375,529,984.00 ", -   
2151,PNRA,PANERA BREAD CO,0," 5,377,371,136.00 ", -   , -   
2185,PSDO,PRESIDIO INC,0," 1,203,684,224.00 "," 938,600,000.00 ", -   
2197,PUMP,PROPETRO HOLDING CO,0," 980,701,312.00 "," 16,547,001.00 ", -   
2198,PVAC,PENN VIRGINIA CORP,0, -   , -   , -   
2199,PVBC,PROVIDENT BANCORP INC,0, -   , -   , -   
2200,PVH,PVH CORP,0, -   , -   , -   
2201,PWOD,PENNS WOODS BANCORP INC,0, -   , -   , -   
2202,PWR,QUANTA SERVICES INC,0, -   , -   , -   
2203,PX,PRAXAIR INC,0, -   , -   , -   
2204,PXD,PIONEER NAT RESOURCES CO,0, -   , -   , -   
2205,PXLW,PIXELWORKS INC,0, -   , -   , -   
2206,PYPL,PAYPAL HOLDINGS INC,0, -   , -   , -   
2207,PZN,PZENA INVESTMENT MGMT,0, -   , -   , -   
2208,PZZA,PAPA JOHNS INTERNATIONAL,0, -   , -   , -   
2209,Q,QUINTILES IMS HOLDINGS,0, -   , -   , -   
2210,QADA,QAD INC,0, -   , -   , -   
2211,QCOM,QUALCOMM INC,0, -   , -   , -   
2212,QCP,QUALITY CARE PROPERTIES,0, -   , -   , -   
2213,QCRH,QCR HOLDINGS INC,0, -   ," 230,263,824.00 ", -   
2216,QGEN,QIAGEN NV,0," 7,220,430,336.00 "," 1,396,329,984.00 ", -   
2231,RAI,REYNOLDS AMERICAN INC,0," 93,268,910,080.00 ", -   , -   
2261,REVG,REV GROUP INC,0," 1,611,549,696.00 "," 281,506,016.00 ", -   
2335,RUSHB,RUSH ENTERPRISES INC,0," 1,577,318,272.00 "," 1,354,665,984.00 ", -   
2355,SALT,SCORPIO BULKERS INC,0," 596,146,624.00 "," 606,254,016.00 ", -   
2357,SAMG,SILVERCREST ASSET MNGMT,0, -   ," 1,654,000.00 "," 14,896,000.00 "
2362,SB,SAFE BULKERS INC,0," 344,139,264.00 "," 599,327,040.00 ", -   
2364,SBBP,STRONGBRIDGE BIOPHARMA,0," 204,943,008.00 "," 18,566,000.00 ", -   
2402,SFL,SHIP FINANCE INTL,0," 1,360,166,912.00 "," 1,871,624,064.00 ", -   
2410,SGBK,STONEGATE BANK,0," 706,400,576.00 "," 78,165,000.00 ", -   
2457,SMHI,SEACOR MARINE HOLDINGS,0," 229,198,064.00 "," 316,092,992.00 ", -   
2467,SNDR,SCHNEIDER NATIONAL INC,0," 4,016,058,880.00 "," 448,661,984.00 ", -   
2472,SNOW,INTRAWEST RSRTS HLDG INC,0," 945,786,752.00 ", -   , -   
2478,SOI,SOLARIS OILFIELD,0," 675,888,320.00 "," 226,000.00 ", -   
2522,SSYS,STRATASYS LTD,0," 1,211,942,272.00 "," 24,143,000.00 ", -   
2538,STNG,SCORPIO TANKERS INC,0," 986,689,088.00 "," 1,973,633,024.00 ", -   
2558,SWX,SOUTHWEST GAS HOLDINGS,0, -   , -   , -   
2559,SXC,SUNCOKE ENERGY INC,0, -   , -   , -   
2560,SXI,STANDEX INTERNATIONAL,0, -   , -   , -   
2561,SXT,SENSIENT TECHNOLOGIES,0, -   , -   , -   
2562,SYBT,STOCK YARDS BANCORP INC,0, -   , -   , -   
2563,SYF,SYNCHRONY FINANCIAL,0, -   , -   , -   
2574,TAHO,TAHOE RES INC,0," 1,469,730,304.00 "," 46,514,000.00 ", -   
2597,TEAM,ATLASSIAN CORP PLC,0," 7,815,608,832.00 ", -   , -   
2609,TGH,TEXTAINER GROUP HLDGS,0," 994,239,744.00 "," 2,930,622,976.00 ", -   
2629,TIVO,TIVO CORPORATION,0," 2,206,932,992.00 "," 995,619,008.00 ", -   
2631,TK,TEEKAY CORP,0," 787,546,496.00 "," 7,548,646,912.00 ", -   
2645,TNK,TEEKAY TANKERS LTD,0," 250,871,600.00 "," 822,051,008.00 ", -   
2646,TOCA,TOCAGEN INC,0," 263,663,120.00 "," 14,128,000.00 ", -   
2648,TOWN,TOWNEBANK PORTSMOUTH VA,0," 1,879,314,560.00 "," 555,789,952.00 ", -   
2689,TSO,TESORO CORP,0," 15,919,225,856.00 ", -   , -   
2694,TTD,THE TRADE DESK INC,0," 2,236,848,640.00 "," 27,000,000.00 ", -   
2704,TUSK,MAMMOTH ENERGY SERVICES,0," 630,151,168.00 "," 65,978,120.00 ", -   
2722,UAA,UNDER ARMOUR CLASS A,0," 7,248,990,208.00 "," 954,716,992.00 ", -   
2732,UCP,UCP INC,0," 212,318,384.00 "," 161,550,992.00 ", -   
2800,VERI,VERITONE INC,0," 257,265,568.00 ", -   , -   
2807,VIAB,VIACOM INC CL B,0," 11,829,456,896.00 "," 11,173,000,192.00 ", -   
2828,VREX,VAREX IMAGING,0," 1,191,030,656.00 "," 498,700,000.00 ", -   
2845,VST,VISTRA ENERGY CORP,0," 7,598,274,560.00 "," 4,601,999,872.00 ", -   
2851,VVV,VALVOLINE INC,0," 4,303,754,752.00 "," 733,000,000.00 ", -   
2898,WINS,WINS FINANCE HOLDINGS,0, -   , -   , -   
2926,WRD,WILDHORSE RESOURCE DEV,0," 1,210,707,968.00 "," 485,032,992.00 ", -   
2945,WTTR,SELECT ENERGY SERVICES,0," 1,043,300,160.00 ", -   , -   
2967,XOG,EXTRACTION OIL & GAS INC,0," 2,350,148,352.00 ", -   , -   
2972,XPER,XPERI CORPORATION,0," 1,302,352,256.00 ", -   , -   
2976,XTLY,XACTLY CORP,0," 504,125,600.00 ", -   , -   
2980,YEXT,YEXT INC,0," 1,258,778,752.00 ", -   , -   
2992,ZG,ZILLOW GROUP INC CLASS A,0," 7,147,966,976.00 "," 376,259,008.00 ", -   
1762,MPO,MIDSTATES PETROLEUM CO,0.270101843," 378,172,832.00 ", -   ," 1,400,112,000.00 "
2831,VRS,VERSO CORPORATION,0.409149036," 182,614,160.00 "," 301,000,000.00 "," 1,182,000,000.00 "
2389,SD,SANDRIDGE ENERGY INC,0.541013315," 629,555,968.00 "," 37,679,000.00 "," 1,233,306,000.00 "
2370,SBOW,SILVERBOW RESOURCES,0.649189823," 259,000,448.00 "," 211,000,000.00 "," 723,980,000.00 "
2242,RCM,R1 RCM INC,1.136140041," 338,794,688.00 ", -   ," 298,198,000.00 "
2913,WMIH,WMIH CORP,1.312799781," 250,000,000.00 "," 18,226,000.00 "," 204,316,000.00 "
105,AKAM,AKAMAI TECHNOLOGIES,1.362522067," 7,995,168,768.00 "," 651,400,000.00 "," 478,084,000.00 "
197,ARCH,ARCH COAL INC,1.604590543," 1,954,164,224.00 "," 323,053,024.00 "," 1,419,189,000.00 "
279,B,BARNES GROUP INC,2.60462008," 3,260,949,504.00 "," 506,609,024.00 "," 194,504,000.00 "
1263,HIBB,HIBBETT SPORTS INC,2.699007976," 260,619,584.00 "," 612,000.00 "," 96,788,000.00 "
434,CACQ,CAESARS ACQUISITION CO,3.269821685," 2,585,121,024.00 ", -   ," 790,600,000.00 "
1871,NHTC,NATURAL HEALTH TRENDS CO,3.563962358," 228,368,016.00 ", -   ," 64,077,000.00 "
1074,FRAN,FRANCESCAS HOLDINGS CORP,3.893854977," 265,062,496.00 ", -   ," 68,072,000.00 "
1116,GCO,GENESCO INC,3.92523695," 477,109,024.00 "," 138,007,008.00 "," 156,708,000.00 "
2321,RS,RELIANCE STEEL & ALUM,4.026858575," 5,437,165,568.00 "," 2,068,999,936.00 "," 513,800,000.00 "
2783,UVE,UNIVERSAL INSURANCE,4.073427479," 649,889,088.00 "," 13,603,000.00 "," 162,883,000.00 "
1112,GBX,GREENBRIER COMPANIES INC,4.14343503," 1,225,620,352.00 "," 532,638,016.00 "," 424,348,000.00 "
184,APEI,AMER PUBLIC EDUCATION,4.559984445," 300,192,896.00 ", -   ," 65,832,000.00 "
349,BKE,BUCKLE INC,4.612926007," 720,866,560.00 ", -   ," 156,271,000.00 "
1557,LC,LENDINGCLUB CORPORATION,4.693668057," 2,525,996,032.00 ", -   ," 538,171,000.00 "
955,EXPR,EXPRESS INC,4.872281539," 507,131,424.00 ", -   ," 104,085,000.00 "
291,BBBY,BED BATH & BEYOND INC,4.899117041," 4,069,807,616.00 "," 1,491,719,040.00 "," 1,135,210,000.00 "
1028,FL,FOOT LOCKER INC,4.925119618," 4,818,820,096.00 "," 126,000,000.00 "," 1,004,000,000.00 "
246,ATW,ATWOOD OCEANICS INC,4.929472104," 581,575,296.00 "," 1,298,135,936.00 "," 381,321,000.00 "
1155,GME,GAMESTOP CORP,4.968390016," 1,958,445,824.00 "," 816,400,000.00 "," 558,500,000.00 "
925,ESV,ENSCO PLC,5.019186561," 1,410,328,064.00 "," 4,744,700,416.00 "," 1,226,300,000.00 "
813,DS,DRIVE SHACK,5.0264632," 180,383,616.00 "," 475,032,000.00 "," 130,393,000.00 "
47,ADES,ADVANCED EMISSIONS SLTNS,5.052935942," 211,243,040.00 ", -   ," 41,806,000.00 "
685,CTB,COOPER TIRE & RUBBER CO,5.311018697," 1,754,865,152.00 "," 336,066,976.00 "," 393,697,000.00 "
1519,KODK,EASTMAN KODAK CO,5.318245797," 322,917,920.00 "," 411,000,000.00 "," 138,000,000.00 "
333,BH,BIGLARI HOLDINGS INC,5.345456372," 624,294,144.00 "," 269,402,016.00 "," 167,188,000.00 "
1108,GBL,GAMCO INVESTORS INC,5.449026121," 843,027,648.00 "," 218,992,992.00 "," 194,901,000.00 "
2842,VSI,VITAMIN SHOPPE INC,5.518550497," 124,896,976.00 "," 126,622,000.00 "," 45,577,000.00 "
1678,MCK,MCKESSON CORP,5.550297844," 31,978,594,304.00 "," 7,977,999,872.00 "," 7,199,000,000.00 "
1137,GHL,GREENHILL & CO INC,5.550354832," 425,781,728.00 "," 79,900,000.00 "," 91,108,000.00 "
2071,PDLI,PDL BIOPHARMA INC,5.569432437," 473,028,640.00 "," 237,837,008.00 "," 127,637,000.00 "
1489,KELYA,KELLY SERVICES INC,5.571399439," 833,338,496.00 "," 700,000.00 "," 149,700,000.00 "
175,AOBC,AMERICAN OUTDOOR BRANDS,5.589120413," 899,213,504.00 "," 217,979,008.00 "," 199,887,000.00 "
1453,JBLU,JETBLUE AIRWAYS CORP,5.689781471," 6,199,821,824.00 "," 1,304,999,936.00 "," 1,319,000,000.00 "
253,AVID,AVID TECHNOLOGY INC,5.747308481," 174,390,336.00 "," 194,856,992.00 "," 64,247,000.00 "
2779,UTHR,UNITED THERAPEUTICS,5.747669009," 5,866,094,592.00 "," 250,000,000.00 "," 1,064,100,000.00 "
1748,MO,ALTRIA GROUP INC,5.985881015," 121,387,925,504.00 "," 13,886,999,552.00 "," 22,599,000,000.00 "
2271,RGR,STURM RUGER & CO INC,6.076431984," 827,044,928.00 ", -   ," 136,107,000.00 "
739,DAL,DELTA AIR LINES INC,6.133808547," 34,064,871,424.00 "," 9,018,999,808.00 "," 7,024,000,000.00 "
1971,ODP,OFFICE DEPOT INC,6.32040466," 2,244,698,112.00 "," 1,162,000,000.00 "," 539,000,000.00 "
1363,IDCC,INTERDIGITAL INC,6.339584958," 2,398,543,872.00 "," 278,479,008.00 "," 422,271,000.00 "
1311,HRTG,HERITAGE INS HLDGS INC,6.424461463," 291,145,152.00 "," 73,276,000.00 "," 56,724,000.00 "
2611,TGNA,TEGNA INC,6.426919621," 2,723,368,448.00 "," 3,346,632,192.00 "," 944,465,000.00 "
65,AEO,AMERICAN EAGLE OUTFITTER,6.603783214," 2,214,882,816.00 ", -   ," 335,262,000.00 "
898,EPM,EVOLUTION PETROLEUM CORP,6.666676462," 228,680,896.00 ", -   ," 34,302,084.00 "
